ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-07-09,63.41104495851426,154.36164697576683,387.18619475005045,63.41104495851426,63.41104495851426,1.662432,1.662432,1.662432,3.215778976835761,3.215778976835761,3.215778976835761,-0.042194932604771876,-0.042194932604771876,-0.042194932604771876,1.5955419094405332,1.5955419094405332,1.5955419094405332,0.0,0.0,0.0,267.3269502352917
2018-07-10,63.3714830639234,146.51449694716968,387.5164642613983,63.3714830639234,63.3714830639234,1.662432,1.662432,1.662432,3.2055327387170163,3.2055327387170163,3.2055327387170163,-0.04615278714178449,-0.04615278714178449,-0.04615278714178449,1.589253525858801,1.589253525858801,1.589253525858801,0.0,0.0,0.0,266.5108467263808
2018-07-11,63.33192116933253,157.02849397933895,397.9265712372891,63.33192116933253,63.33192116933253,1.662432,1.662432,1.662432,3.3481132461326233,3.3481132461326233,3.3481132461326233,0.1065403181173651,0.1065403181173651,0.1065403181173651,1.5791409280152582,1.5791409280152582,1.5791409280152582,0.0,0.0,0.0,275.3743653394019
2018-07-12,63.29235927474167,150.15968417256673,400.1322554401686,63.29235927474167,63.29235927474167,1.662432,1.662432,1.662432,3.3383724170692846,3.3383724170692846,3.3383724170692846,0.11067000000018701,0.11067000000018701,0.11067000000018701,1.5652704170690983,1.5652704170690983,1.5652704170690983,0.0,0.0,0.0,274.5858256887786
2018-07-13,63.252797380150795,144.04240901340123,377.2198007238626,63.252797380150795,63.252797380150795,1.662432,1.662432,1.662432,3.1122783835077366,3.1122783835077366,3.1122783835077366,-0.09793030429535664,-0.09793030429535664,-0.09793030429535664,1.5477766878030939,1.5477766878030939,1.5477766878030939,0.0,0.0,0.0,260.1131113627889
2018-07-14,63.21323548555993,142.60876144358795,380.0549080109976,63.21323548555993,63.21323548555993,1.662432,1.662432,1.662432,3.1381992691166465,3.1381992691166465,3.1381992691166465,-0.05109230939072224,-0.05109230939072224,-0.05109230939072224,1.5268595785073693,1.5268595785073693,1.5268595785073693,0.0,0.0,0.0,261.58896488484254
2018-07-15,63.17367359096906,139.2469802424978,387.91598409715436,63.17367359096906,63.17367359096906,1.662432,1.662432,1.662432,3.18537137482022,3.18537137482022,3.18537137482022,0.02016001531497288,0.02016001531497288,0.02016001531497288,1.5027793595052479,1.5027793595052479,1.5027793595052479,0.0,0.0,0.0,264.405285089878
2018-07-16,63.134111696378206,148.78739097955798,375.16795757629745,63.134111696378206,63.134111696378206,1.662432,1.662432,1.662432,3.0960877579755746,3.0960877579755746,3.0960877579755746,-0.0421949326046638,-0.0421949326046638,-0.0421949326046638,1.4758506905802387,1.4758506905802387,1.4758506905802387,0.0,0.0,0.0,258.6028620301973
2018-07-17,63.0945498090862,141.28924297000856,375.56167998023955,63.0945498090862,63.0945498090862,1.662432,1.662432,1.662432,3.0627146206311853,3.0627146206311853,3.0627146206311853,-0.0461527871417793,-0.0461527871417793,-0.0461527871417793,1.4464354077729649,1.4464354077729649,1.4464354077729649,0.0,0.0,0.0,256.3351499915171
2018-07-18,63.05498792179423,145.96241935073954,376.85576648879896,63.05498792179423,63.05498792179423,1.662432,1.662432,1.662432,3.183906643849477,3.183906643849477,3.183906643849477,0.10654031811744007,0.10654031811744007,0.10654031811744007,1.4149343257320377,1.4149343257320377,1.4149343257320377,0.0,0.0,0.0,263.8161828938434
