ds,y
2016-01-01,116.33333333333333
2016-01-02,64.45833333333333
2016-01-03,95.625
2016-01-04,43.875
2016-01-05,51.875
2016-01-06,37.708333333333336
2016-01-07,40.375
2016-01-08,92.29166666666667
2016-01-09,73.08333333333333
2016-01-10,100.5
2016-01-11,94.91666666666667
2016-01-12,94.70833333333333
2016-01-13,77.54166666666667
2016-01-14,37.916666666666664
2016-01-15,73.66666666666667
2016-01-16,40.958333333333336
2016-01-17,24.208333333333332
2016-01-18,107.91666666666667
2016-01-19,57.833333333333336
2016-01-20,92.70833333333333
2016-01-21,104.83333333333333
2016-01-22,29.875
2016-01-23,89.70833333333333
2016-01-24,110.0
2016-01-25,139.20833333333334
2016-01-26,97.41666666666667
2016-01-27,142.58333333333334
2016-01-28,44.5
2016-01-29,25.458333333333332
2016-01-30,120.5
2016-01-31,122.66666666666667
2016-02-01,154.25
2016-02-02,58.333333333333336
2016-02-03,92.625
2016-02-04,135.41666666666666
2016-02-05,146.95833333333334
2016-02-06,153.08333333333334
2016-02-07,157.91666666666666
2016-02-08,165.54166666666666
2016-02-09,144.04166666666666
2016-02-10,133.5
2016-02-11,138.58333333333334
2016-02-12,139.29166666666666
2016-02-13,177.41666666666666
2016-02-14,150.95833333333334
2016-02-15,173.0
2016-02-16,174.875
2016-02-17,88.20833333333333
2016-02-18,104.45833333333333
2016-02-19,98.95833333333333
2016-02-20,163.08333333333334
2016-02-21,193.75
2016-02-22,197.5
2016-02-23,199.91666666666666
2016-02-24,190.58333333333334
2016-02-25,184.25
2016-02-26,158.54166666666666
2016-02-27,148.375
2016-02-28,159.54166666666666
2016-02-29,
2016-03-01,196.5
2016-03-02,183.58333333333334
2016-03-03,117.875
2016-03-04,86.875
2016-03-05,54.958333333333336
2016-03-06,113.54166666666667
2016-03-07,114.91666666666667
2016-03-08,127.29166666666667
2016-03-09,135.41666666666666
2016-03-10,44.458333333333336
2016-03-11,69.25
2016-03-12,74.70833333333333
2016-03-13,55.75
2016-03-14,212.70833333333334
2016-03-15,240.16666666666666
2016-03-16,239.625
2016-03-17,247.41666666666666
2016-03-18,247.66666666666666
2016-03-19,239.625
2016-03-20,90.91666666666667
2016-03-21,81.95833333333333
2016-03-22,259.875
2016-03-23,244.70833333333334
2016-03-24,238.95833333333334
2016-03-25,258.9166666666667
2016-03-26,246.16666666666666
2016-03-27,227.58333333333334
2016-03-28,241.91666666666666
2016-03-29,278.3333333333333
2016-03-30,272.0833333333333
2016-03-31,273.5
2016-04-01,272.2916666666667
2016-04-02,267.9583333333333
2016-04-03,263.7083333333333
2016-04-04,282.6666666666667
2016-04-05,286.6666666666667
2016-04-06,287.4166666666667
2016-04-07,221.25
2016-04-08,195.29166666666666
2016-04-09,50.458333333333336
2016-04-10,124.95833333333333
2016-04-11,274.9583333333333
2016-04-12,231.54166666666666
2016-04-13,293.5833333333333
2016-04-14,283.7916666666667
2016-04-15,309.875
2016-04-16,309.6666666666667
2016-04-17,307.2083333333333
2016-04-18,308.4583333333333
2016-04-19,278.5833333333333
2016-04-20,310.9583333333333
2016-04-21,249.20833333333334
2016-04-22,161.04166666666666
2016-04-23,313.375
2016-04-24,281.9583333333333
2016-04-25,328.0833333333333
2016-04-26,264.125
2016-04-27,217.58333333333334
2016-04-28,329.2916666666667
2016-04-29,308.4583333333333
2016-04-30,329.625
2016-05-01,323.4166666666667
2016-05-02,324.0416666666667
2016-05-03,247.66666666666666
2016-05-04,254.66666666666666
2016-05-05,95.625
2016-05-06,122.33333333333333
2016-05-07,96.25
2016-05-08,189.79166666666666
2016-05-09,325.0833333333333
2016-05-10,341.375
2016-05-11,338.1666666666667
2016-05-12,332.0416666666667
2016-05-13,338.875
2016-05-14,335.4166666666667
2016-05-15,343.8333333333333
2016-05-16,342.5
2016-05-17,350.375
2016-05-18,332.4583333333333
2016-05-19,314.8333333333333
2016-05-20,245.29166666666666
2016-05-21,244.29166666666666
2016-05-22,324.4166666666667
2016-05-23,296.125
2016-05-24,330.6666666666667
2016-05-25,344.0
2016-05-26,348.125
2016-05-27,350.7916666666667
2016-05-28,345.375
2016-05-29,352.6666666666667
2016-05-30,352.5
2016-05-31,359.1666666666667
2016-06-01,365.9583333333333
2016-06-02,367.0
2016-06-03,352.9583333333333
2016-06-04,218.33333333333334
2016-06-05,356.3333333333333
2016-06-06,351.5833333333333
2016-06-07,354.9166666666667
2016-06-08,328.5
2016-06-09,360.6666666666667
2016-06-10,358.25
2016-06-11,341.5416666666667
2016-06-12,355.4166666666667
2016-06-13,358.2083333333333
2016-06-14,324.6666666666667
2016-06-15,234.33333333333334
2016-06-16,319.5
2016-06-17,207.5
2016-06-18,363.75
2016-06-19,356.0833333333333
2016-06-20,370.5416666666667
2016-06-21,369.3333333333333
2016-06-22,371.875
2016-06-23,370.5416666666667
2016-06-24,372.4583333333333
2016-06-25,375.125
2016-06-26,366.0
2016-06-27,365.2916666666667
2016-06-28,362.8333333333333
2016-06-29,369.75
2016-06-30,364.0416666666667
2016-07-01,358.5
2016-07-02,358.6666666666667
2016-07-03,361.2083333333333
2016-07-04,361.7083333333333
2016-07-05,360.625
2016-07-06,357.6666666666667
2016-07-07,356.5833333333333
2016-07-08,351.2083333333333
2016-07-09,351.25
2016-07-10,363.2916666666667
2016-07-11,361.9583333333333
2016-07-12,362.5833333333333
2016-07-13,364.4583333333333
2016-07-14,362.5416666666667
2016-07-15,352.0
2016-07-16,356.5833333333333
2016-07-17,358.2083333333333
2016-07-18,353.0
2016-07-19,354.7916666666667
2016-07-20,356.9583333333333
