ds,y
2016-01-01,48.208333333333336
2016-01-02,109.75
2016-01-03,111.70833333333333
2016-01-04,114.375
2016-01-05,119.41666666666667
2016-01-06,119.25
2016-01-07,79.16666666666667
2016-01-08,72.83333333333333
2016-01-09,39.625
2016-01-10,49.583333333333336
2016-01-11,122.625
2016-01-12,59.916666666666664
2016-01-13,122.33333333333333
2016-01-14,96.375
2016-01-15,84.875
2016-01-16,82.75
2016-01-17,23.291666666666668
2016-01-18,132.375
2016-01-19,134.33333333333334
2016-01-20,119.04166666666667
2016-01-21,111.04166666666667
2016-01-22,79.95833333333333
2016-01-23,12.0
2016-01-24,123.66666666666667
2016-01-25,123.70833333333333
2016-01-26,96.58333333333333
2016-01-27,120.95833333333333
2016-01-28,133.625
2016-01-29,56.041666666666664
2016-01-30,133.45833333333334
2016-01-31,126.375
2016-02-01,50.916666666666664
2016-02-02,146.5
2016-02-03,18.541666666666668
2016-02-04,65.95833333333333
2016-02-05,96.625
2016-02-06,142.125
2016-02-07,114.33333333333333
2016-02-08,72.375
2016-02-09,64.66666666666667
2016-02-10,137.54166666666666
2016-02-11,121.20833333333333
2016-02-12,133.70833333333334
2016-02-13,153.25
2016-02-14,178.08333333333334
2016-02-15,41.166666666666664
2016-02-16,54.083333333333336
2016-02-17,87.20833333333333
2016-02-18,183.95833333333334
2016-02-19,120.66666666666667
2016-02-20,132.375
2016-02-21,88.16666666666667
2016-02-22,183.45833333333334
2016-02-23,29.166666666666668
2016-02-24,36.125
2016-02-25,46.541666666666664
2016-02-26,126.375
2016-02-27,199.125
2016-02-28,196.5
2016-02-29,
2016-03-01,198.875
2016-03-02,209.91666666666666
2016-03-03,175.33333333333334
2016-03-04,117.16666666666667
2016-03-05,176.58333333333334
2016-03-06,138.83333333333334
2016-03-07,209.25
2016-03-08,178.54166666666666
2016-03-09,218.25
2016-03-10,191.75
2016-03-11,213.45833333333334
2016-03-12,179.375
2016-03-13,75.45833333333333
2016-03-14,31.833333333333332
2016-03-15,62.208333333333336
2016-03-16,180.91666666666666
2016-03-17,195.33333333333334
2016-03-18,201.83333333333334
2016-03-19,124.79166666666667
2016-03-20,93.375
2016-03-21,244.04166666666666
2016-03-22,247.83333333333334
2016-03-23,213.125
2016-03-24,223.95833333333334
2016-03-25,126.75
2016-03-26,261.0
2016-03-27,165.25
2016-03-28,134.29166666666666
2016-03-29,278.2083333333333
2016-03-30,271.9166666666667
2016-03-31,192.0
2016-04-01,183.45833333333334
2016-04-02,130.75
2016-04-03,285.0833333333333
2016-04-04,89.125
2016-04-05,296.0833333333333
2016-04-06,273.6666666666667
2016-04-07,137.25
2016-04-08,171.5
2016-04-09,105.54166666666667
2016-04-10,294.75
2016-04-11,230.58333333333334
2016-04-12,160.08333333333334
2016-04-13,300.75
2016-04-14,296.7916666666667
2016-04-15,300.4166666666667
2016-04-16,305.0
2016-04-17,299.7083333333333
2016-04-18,303.0416666666667
2016-04-19,277.9166666666667
2016-04-20,317.5
2016-04-21,278.7916666666667
2016-04-22,190.83333333333334
2016-04-23,176.625
2016-04-24,312.4583333333333
2016-04-25,283.0
2016-04-26,223.125
2016-04-27,112.41666666666667
2016-04-28,138.66666666666666
2016-04-29,71.45833333333333
2016-04-30,175.91666666666666
2016-05-01,78.75
2016-05-02,137.29166666666666
2016-05-03,95.29166666666667
2016-05-04,96.20833333333333
2016-05-05,139.16666666666666
2016-05-06,73.58333333333333
2016-05-07,117.29166666666667
2016-05-08,264.75
2016-05-09,260.7083333333333
2016-05-10,167.54166666666666
2016-05-11,205.91666666666666
2016-05-12,323.4583333333333
2016-05-13,106.875
2016-05-14,256.7083333333333
2016-05-15,232.91666666666666
2016-05-16,352.2083333333333
2016-05-17,161.33333333333334
2016-05-18,187.75
2016-05-19,295.25
2016-05-20,330.5416666666667
2016-05-21,119.08333333333333
2016-05-22,114.08333333333333
2016-05-23,263.25
2016-05-24,235.45833333333334
2016-05-25,345.5
2016-05-26,326.125
2016-05-27,319.8333333333333
2016-05-28,325.2916666666667
2016-05-29,321.4166666666667
2016-05-30,198.0
2016-05-31,304.3333333333333
2016-06-01,248.5
2016-06-02,322.75
2016-06-03,105.54166666666667
2016-06-04,270.6666666666667
2016-06-05,157.33333333333334
2016-06-06,341.4583333333333
2016-06-07,285.7916666666667
2016-06-08,205.54166666666666
2016-06-09,355.9583333333333
2016-06-10,364.9166666666667
2016-06-11,305.2083333333333
2016-06-12,354.0833333333333
2016-06-13,325.4166666666667
2016-06-14,359.5416666666667
2016-06-15,330.4166666666667
2016-06-16,117.04166666666667
2016-06-17,307.5416666666667
2016-06-18,331.9583333333333
2016-06-19,317.5416666666667
2016-06-20,302.75
2016-06-21,264.3333333333333
2016-06-22,303.5
2016-06-23,201.75
2016-06-24,274.5
2016-06-25,348.8333333333333
2016-06-26,315.0833333333333
2016-06-27,293.75
2016-06-28,145.04166666666666
2016-06-29,312.7083333333333
2016-06-30,339.25
2016-07-01,217.16666666666666
2016-07-02,339.0
2016-07-03,257.2916666666667
2016-07-04,257.0833333333333
2016-07-05,209.5
2016-07-06,321.9166666666667
2016-07-07,255.45833333333334
2016-07-08,220.54166666666666
2016-07-09,92.25
2016-07-10,277.0833333333333
2016-07-11,289.4583333333333
2016-07-12,315.5
2016-07-13,122.625
2016-07-14,211.79166666666666
2016-07-15,258.4583333333333
2016-07-16,236.54166666666666
2016-07-17,319.7083333333333
2016-07-18,259.5833333333333
2016-07-19,331.9583333333333
2016-07-20,319.1666666666667
2016-07-21,292.0416666666667
2016-07-22,300.3333333333333
