ds,y
2016-01-01,53.75
2016-01-02,38.375
2016-01-03,150.08333333333334
2016-01-04,171.70833333333334
2016-01-05,147.75
2016-01-06,36.541666666666664
2016-01-07,160.66666666666666
2016-01-08,103.625
2016-01-09,151.75
2016-01-10,173.95833333333334
2016-01-11,131.625
2016-01-12,174.04166666666666
2016-01-13,173.75
2016-01-14,152.66666666666666
2016-01-15,180.33333333333334
2016-01-16,109.5
2016-01-17,171.25
2016-01-18,178.75
2016-01-19,147.58333333333334
2016-01-20,99.83333333333333
2016-01-21,179.33333333333334
2016-01-22,188.5
2016-01-23,187.33333333333334
2016-01-24,173.125
2016-01-25,175.375
2016-01-26,62.25
2016-01-27,189.83333333333334
2016-01-28,195.04166666666666
2016-01-29,196.54166666666666
2016-01-30,196.875
2016-01-31,194.45833333333334
2016-02-01,170.875
2016-02-02,204.91666666666666
2016-02-03,207.66666666666666
2016-02-04,211.04166666666666
2016-02-05,205.41666666666666
2016-02-06,210.95833333333334
2016-02-07,211.375
2016-02-08,206.75
2016-02-09,214.20833333333334
2016-02-10,215.125
2016-02-11,217.91666666666666
2016-02-12,214.875
2016-02-13,211.125
2016-02-14,129.0
2016-02-15,219.25
2016-02-16,218.33333333333334
2016-02-17,223.83333333333334
2016-02-18,190.91666666666666
2016-02-19,206.83333333333334
2016-02-20,71.58333333333333
2016-02-21,63.166666666666664
2016-02-22,149.04166666666666
2016-02-23,161.91666666666666
2016-02-24,250.625
2016-02-25,246.125
2016-02-26,244.20833333333334
2016-02-27,238.91666666666666
2016-02-28,154.58333333333334
2016-02-29,
2016-03-01,206.25
2016-03-02,219.0
2016-03-03,250.54166666666666
2016-03-04,259.8333333333333
2016-03-05,241.5
2016-03-06,114.79166666666667
2016-03-07,86.58333333333333
2016-03-08,174.79166666666666
2016-03-09,51.125
2016-03-10,57.958333333333336
2016-03-11,99.70833333333333
2016-03-12,212.29166666666666
2016-03-13,273.5
2016-03-14,276.5
2016-03-15,238.5
2016-03-16,231.79166666666666
2016-03-17,126.45833333333333
2016-03-18,141.16666666666666
2016-03-19,268.9583333333333
2016-03-20,288.5833333333333
2016-03-21,294.625
2016-03-22,284.2083333333333
2016-03-23,196.5
2016-03-24,296.5416666666667
2016-03-25,290.5
2016-03-26,228.70833333333334
2016-03-27,244.45833333333334
2016-03-28,290.75
2016-03-29,57.958333333333336
2016-03-30,111.75
2016-03-31,300.7083333333333
2016-04-01,114.54166666666667
2016-04-02,309.4166666666667
2016-04-03,310.375
2016-04-04,308.5
2016-04-05,309.9583333333333
2016-04-06,267.7083333333333
2016-04-07,298.6666666666667
2016-04-08,247.625
2016-04-09,162.79166666666666
2016-04-10,118.70833333333333
2016-04-11,221.375
2016-04-12,68.20833333333333
2016-04-13,116.20833333333333
2016-04-14,281.7916666666667
2016-04-15,284.3333333333333
2016-04-16,65.58333333333333
2016-04-17,85.875
2016-04-18,128.16666666666666
2016-04-19,169.66666666666666
2016-04-20,282.875
2016-04-21,228.25
2016-04-22,327.9583333333333
2016-04-23,327.6666666666667
2016-04-24,143.625
2016-04-25,264.9583333333333
2016-04-26,203.875
2016-04-27,335.5
2016-04-28,278.0
2016-04-29,167.83333333333334
2016-04-30,324.875
2016-05-01,185.20833333333334
2016-05-02,130.79166666666666
2016-05-03,340.1666666666667
2016-05-04,340.625
2016-05-05,320.5416666666667
2016-05-06,345.2083333333333
2016-05-07,307.6666666666667
2016-05-08,71.79166666666667
2016-05-09,308.625
2016-05-10,291.1666666666667
2016-05-11,267.0416666666667
2016-05-12,185.20833333333334
2016-05-13,294.7083333333333
2016-05-14,115.0
2016-05-15,149.79166666666666
2016-05-16,145.875
2016-05-17,221.41666666666666
2016-05-18,238.66666666666666
2016-05-19,139.70833333333334
2016-05-20,329.0416666666667
2016-05-21,205.16666666666666
2016-05-22,228.29166666666666
2016-05-23,171.125
2016-05-24,231.45833333333334
2016-05-25,151.0
2016-05-26,206.25
2016-05-27,121.58333333333333
2016-05-28,260.5
2016-05-29,244.29166666666666
2016-05-30,289.625
2016-05-31,102.70833333333333
2016-06-01,303.75
2016-06-02,252.20833333333334
2016-06-03,308.5416666666667
2016-06-04,221.75
2016-06-05,317.7916666666667
2016-06-06,350.7916666666667
2016-06-07,312.75
2016-06-08,290.7916666666667
2016-06-09,291.7916666666667
2016-06-10,265.2916666666667
2016-06-11,284.2916666666667
2016-06-12,275.0
2016-06-13,286.125
2016-06-14,243.83333333333334
2016-06-15,336.4583333333333
2016-06-16,341.125
2016-06-17,347.5833333333333
2016-06-18,323.3333333333333
2016-06-19,306.7083333333333
2016-06-20,333.125
2016-06-21,337.375
2016-06-22,334.25
2016-06-23,294.7916666666667
2016-06-24,271.4583333333333
2016-06-25,109.25
2016-06-26,294.5416666666667
2016-06-27,317.8333333333333
2016-06-28,247.875
2016-06-29,290.125
2016-06-30,327.625
2016-07-01,340.75
2016-07-02,329.25
2016-07-03,312.375
2016-07-04,316.75
2016-07-05,321.875
2016-07-06,336.1666666666667
2016-07-07,336.375
2016-07-08,326.4583333333333
2016-07-09,297.0416666666667
2016-07-10,260.375
2016-07-11,320.4166666666667
2016-07-12,322.5416666666667
2016-07-13,333.1666666666667
2016-07-14,327.1666666666667
2016-07-15,323.4583333333333
2016-07-16,314.7916666666667
2016-07-17,319.2083333333333
2016-07-18,301.1666666666667
2016-07-19,314.75
2016-07-20,289.75
2016-07-21,335.5416666666667
2016-07-22,334.0
2016-07-23,326.6666666666667
2016-07-24,312.7083333333333
2016-07-25,297.9583333333333
2016-07-26,207.29166666666666
