ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2016-01-01,185.65122970833335,-4.95431855296542,153.3179131902491,185.65122970833335,185.65122970833335,0.170106,0.170106,0.170106,-0.5867227770646558,-0.5867227770646558,-0.5867227770646558,-0.01600609977929198,-0.01600609977929198,-0.01600609977929198,-0.740822677285364,-0.740822677285364,-0.740822677285364,0.0,0.0,0.0,76.72542464839168
2016-01-02,185.6475030647403,-4.5773515984534,155.27895156126536,185.6475030647403,185.6475030647403,0.170106,0.170106,0.170106,-0.5871837996760993,-0.5871837996760993,-0.5871837996760993,-0.01053431905987533,-0.01053431905987533,-0.01053431905987533,-0.7467554806162241,-0.7467554806162241,-0.7467554806162241,0.0,0.0,0.0,76.6382968148058
2016-01-03,185.64377642114727,-14.617606017489729,161.96561999610844,185.64377642114727,185.64377642114727,0.170106,0.170106,0.170106,-0.5747066481096,-0.5747066481096,-0.5747066481096,0.007806243580085374,0.007806243580085374,0.007806243580085374,-0.7526188916896855,-0.7526188916896855,-0.7526188916896855,0.0,0.0,0.0,78.95306393174172
2016-01-04,185.64004977755422,-3.3130489013123294,164.3139907032351,185.64004977755422,185.64004977755422,0.170106,0.170106,0.170106,-0.5729935585935648,-0.5729935585935648,-0.5729935585935648,0.015199654545663709,0.015199654545663709,0.015199654545663709,-0.7582992131392287,-0.7582992131392287,-0.7582992131392287,0.0,0.0,0.0,79.26949703802691
2016-01-05,185.63632313396118,-9.90200757999014,156.4805007625215,185.63632313396118,185.63632313396118,0.170106,0.170106,0.170106,-0.5767445106907044,-0.5767445106907044,-0.5767445106907044,0.0168289842943362,0.0168289842943362,0.0168289842943362,-0.7636794949850407,-0.7636794949850407,-0.7636794949850407,0.0,0.0,0.0,78.57159278164325
2016-01-06,185.63259649036817,-15.173074044651823,155.06477489821071,185.63259649036817,185.63259649036817,0.170106,0.170106,0.170106,-0.6111535184149456,-0.6111535184149456,-0.6111535184149456,-0.012618373580886763,-0.012618373580886763,-0.012618373580886763,-0.768641144834059,-0.768641144834059,-0.768641144834059,0.0,0.0,0.0,72.18258201277779
2016-01-07,185.6288698467751,-13.55361599577922,158.07539521858675,185.6288698467751,185.6288698467751,0.170106,0.170106,0.170106,-0.6036357129885189,-0.6036357129885189,-0.6036357129885189,-0.0006760899999882991,-0.0006760899999882991,-0.0006760899999882991,-0.7730656229885308,-0.7730656229885308,-0.7730656229885308,0.0,0.0,0.0,73.57665464556403
2016-01-08,185.62514321274838,-13.222859059142689,149.82769714347694,185.62514321274838,185.62514321274838,0.170106,0.170106,0.170106,-0.6227363050916063,-0.6227363050916063,-0.6227363050916063,-0.01600609977928597,-0.01600609977928597,-0.01600609977928597,-0.7768362053123203,-0.7768362053123203,-0.7768362053123203,0.0,0.0,0.0,70.0296273963412
2016-01-09,185.6214165787217,-16.7504012767709,151.15264711527573,185.6214165787217,185.6214165787217,0.170106,0.170106,0.170106,-0.6202681129288186,-0.6202681129288186,-0.6202681129288186,-0.010534319059971771,-0.010534319059971771,-0.010534319059971771,-0.7798397938688468,-0.7798397938688468,-0.7798397938688468,0.0,0.0,0.0,70.48637079826388
2016-01-10,185.61768994469494,-14.783672367954255,158.59813413724692,185.61768994469494,185.61768994469494,0.170106,0.170106,0.170106,-0.6040565089025344,-0.6040565089025344,-0.6040565089025344,0.0078062435800598665,0.0078062435800598665,0.0078062435800598665,-0.7819687524825942,-0.7819687524825942,-0.7819687524825942,0.0,0.0,0.0,73.49411616614945
